Cruise_ID,station,niskin,Date,depth_m,PH_bottle,DICTA_bottle,niskin_dup,salt_bottle,salinity_psu,DIC_umol_kg,DIC_std_dev,DIC_n,,
AR46,9,12,8/18/2020,133,NA,1640,13,J7,34.899,1768.9,0.8,2,,
AR46,9,14,8/18/2020,102,1637,1632,15,J8,34.9009,1755.8,1.7,2,,
AR46,9,16,8/18/2020,80,NA,1634,17,J9,34.8963,1752.7,0.4,2,,
AR46,9,18,8/18/2020,40,NA,1650,19,J10,34.8762,1711.4,2.0,2,,
AR46,9,20,8/18/2020,20,1635,1636,20,J11,34.757,1664.0,1.0,2,,
AR46,9,21,8/18/2020,13,1638,1633,22,J12,34.748,1654.1,2.2,2,,
AR46,9,23,8/18/2020,1,1639,1645,24,J13,34.7515,1651.0,1.5,2,,
AR46,14,14,8/23/2020,30,1644,1653,14,U12,34.9865,1680.5,2.3,2,,
AR46,16,16,8/25/2020,35,1643,1648,16,L18,34.7946,1648.3,1.7,2,,
,,,,,,,,,,,,,,
