cruise_id,station,target_station,start_latitude,start_longitude,start_date,start_time,bottom_depth_m,niskin,rosette_position,date,time,trip_depth_m,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu,comments
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,4,4,2021-08-12,20:03:00,1850,NA,1821,B4,34.928,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,5,5,2021-08-12,20:10:00,1500,NA,1822,B5,34.9179,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,6,6,2021-08-12,20:20:00,1000,NA,1823,B6,34.8692,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,7,7,2021-08-12,20:30:00,500,NA,1824,B7,34.8776,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,8,8,2021-08-12,20:36:00,250,NA,1825,B8,34.8615,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,10,10,2021-08-12,20:41:00,100,1826,1827,B10,34.8772,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,11,11,2021-08-12,20:43:00,80,NA,1828,B11,34.8798,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,13,13,2021-08-12,20:46:00,40,NA,1829,B13,34.8143,NA
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,14,14,2021-08-12,20:47:00,20,1830,1831,B14,34.706,Niskin Bottle firing position 17
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,15,15,2021-08-12,20:49:00,13,1832,1833,B15,34.707,Niskin Bottle firing position 18
AR60-01,5,SUMO,59 56.027 N,39 30.524 W,2021-08-12,18:36:00,2684,16,16,2021-08-12,20:50:00,0,1834,1835,B16,34.4097,Niskin Bottle firing position 19
AR60-01,7,FLMA,59 46.372 N,39 51.463 W,2021-08-14,10:03:52,2692,14,14,2021-08-14,11:59:00,30,1836,1837,A1,34.7276,Forgot to collect chlorophyll samples; Niskin Bottle firing position 17
AR60-01,12,FLMB,59 43.574 N,39 20.042 W,2021-08-17,21:27:50,2821,14,14,2021-08-17,23:27:00,30,1838,1839,B14,34.725,Niskin Bottle firing position 17
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,8,8,2022-06-30,NA,130,NA,1695,A8,34.882,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,9,9,2022-06-30,NA,100,1696,1697,A9,34.8747,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,10,10,2022-06-30,NA,80,NA,1698,A10,34.881,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,12,12,2022-06-30,NA,40,NA,1699,A12,34.8517,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,13,13,2022-06-30,NA,20,1700,1694,A13,34.8029,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,14,14,2022-06-30,NA,12,1690,1691,A14,34.784,NA
AR69-01,12,SUMO,59 56.358 N,39 31.268 W,2022-06-30,16:25:00,2677,15,15,2022-06-30,NA,sfc,1692,1693,A15,34.7748,NA
AR69-01,14,FLMB,59 42.908 N,39 19.429 W,2022-07-02,14:02:00,2826,18,18,2022-07-02,NA,30,1688,1689,A18,34.8505,NA
AR69-01,19,FLMA,59 46.524 N,39 54.394 W,2022-07-05,21:17:00,2685,15,15,2022-07-05,NA,30,1654,1655,A21,34.8131,NA
AR76-03,5,FLMA,59 46.1441 N,39 54.2535 W,2023-09-05,15:41:00,2692,19,NA,2023-09-05,NA,30,2055,2055,A19,34.9326,per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,4,NA,2023-09-06,23:16:00,1850,NA,2056,A4,34.9227,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,5,NA,2023-09-06,23:24:00,1500,NA,2057,A5,34.9039,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,6,NA,2023-09-06,23:34:00,1000,NA,2058,A6,34.8937,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,8,NA,2023-09-06,23:46:00,500,NA,2059,A8,34.8792,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,9,NA,2023-09-06,23:50:00,350,NA,2060,A9,34.8821,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,10,NA,2023-09-06,23:53:00,250,NA,2061,A10,34.9368,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,12,NA,2023-09-06,23:58:00,130,NA,2062,A12,34.9803,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,13,NA,2023-09-07,00:00:00,100,2063,2063,A13,34.9859,Niskin 13 leaks; per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,14,NA,2023-09-07,00:02:00,80,NA,2064,A14,34.9882,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,16,NA,2023-09-07,00:06:00,40,NA,2065,A16,34.8706,NA
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,17,NA,2023-09-07,00:08:00,20,2066,2066,A17,34.8675,Chl max; per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,18,NA,2023-09-07,00:10:00,12,2067,2067,A18,34.8681,per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR76-03,6,SUMO,59 55.933 N,39 29.954 W,2023-09-06,21:58:00,2689,19,NA,2023-09-07,00:11:00,surf,2068,2068,A19,34.8668,per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR76-03,7,FLMB,59 43.874 N,39 20.503 W,2023-09-08,13:01:00,2816,20,NA,2023-09-08,15:32:00,30,2069,2069,A20,34.9365,per Kate Morkeski - she will be able to analyze for pH from the DIC/TA bottle
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,9,NA,2024-06-11,NA,135,NA,2098,K9,34.87,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,11,NA,2024-06-11,NA,104,2099,2099,K10,34.87,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,12,NA,2024-06-11,NA,84,NA,2100,K11,34.88,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,15,NA,2024-06-11,NA,44,NA,2101,K13,34.88,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,17,NA,2024-06-11,NA,24,2102,2102,K14,34.84,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,20,NA,2024-06-11,NA,16,2103,2103,K15,34.88,OSNAP releases
AR84-01,5,SUMO and release test,59 56.403 N,39 31.35 W,2024-06-11,09:01:00,2680,21,NA,2024-06-11,NA,4,2104,2104,K16,34.83,OSNAP releases
AR84-01,10,FLMA,59 46.14 N,39 51.67 W,2024-06-14,16:19:00,2696,22,NA,2024-06-14,NA,surf,2109,2109,B18,34.83,OSNAP release test
AR84-01,12,FLMB,59 43.01 N,39 20.19 W,2024-06-15,15:47:00,2824,23,NA,2024-06-15,18:07:00,30,2105,2105,B17,34.81,Chl max
RR2505,4,SUMO,59 55.465 N,39 31.828 W,2025-07-22,17:41:50,2685,13,NA,2025-07-22,19:37:00,134,NA,2365,M13,34.8744,NA
RR2505,4,SUMO,59 55.465 N,39 31.828 W,2025-07-22,17:41:50,2685,14,NA,2025-07-22,19:39:00,104,2364,2361,M14,34.9114,NA
RR2505,4,SUMO,59 55.465 N,39 31.828 W,2025-07-22,17:41:50,2685,15,NA,2025-07-22,19:41:00,84,NA,2363,M15,34.9347,NA
RR2505,4,SUMO,59 55.465 N,39 31.828 W,2025-07-22,17:41:50,2685,17,NA,2025-07-22,19:45:00,45,NA,2353,M17,34.8434,NA
RR2505,4,SUMO,59 55.465 N,39 31.828 W,2025-07-22,17:41:50,2685,18,NA,2025-07-22,19:47:00,24,2354,2355,M18,34.8349,NA
