Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR60-01,2021-08-12,1821,NA,34.928
AR60-01,2021-08-12,1822,NA,34.9179
AR60-01,2021-08-12,1823,NA,34.8692
AR60-01,2021-08-12,1824,NA,34.8776
AR60-01,2021-08-12,1825,NA,34.8615
AR60-01,2021-08-12,1827,1826,34.8772
AR60-01,2021-08-12,1828,NA,34.8798
AR60-01,2021-08-12,1829,NA,34.8143
AR60-01,2021-08-12,1831,1830,34.706
AR60-01,2021-08-12,1833,1832,34.707
AR60-01,2021-08-12,1835,1834,34.4097
AR60-01,2021-08-14,1837,1836,34.7276
AR60-01,2021-08-17,1839,1838,34.725
