"OOI Pioneer XIV, June 2020",,,,,,,
Cruise_ID,Date_collected,DICTA_bottle,PH_bottle,salinity_psu,Date_anlDIC,Date_anlTA,Date_anlpH
AR44,8-Jun-2020,1428,1427,32.6571,,,
AR44,8-Jun-2020,1429,NA,35.7823,,,
AR44,8-Jun-2020,1508,NA,35.7807,,,
AR44,8-Jun-2020,1546,NA,32.6177,,,
AR44,8-Jun-2020,1548,1547,32.4678,,,
AR44,8-Jun-2020,NA,1549,32.4676,,,
AR44,9-Jun-2020,1551,1550,35.0653,,,
AR44,9-Jun-2020,1552,NA,35.0655,,,
AR44,9-Jun-2020,1553,NA,35.5928,,,
AR44,9-Jun-2020,1554,NA,32.4756,,,
AR44,9-Jun-2020,1556,1555,32.3984,,,
AR44,9-Jun-2020,NA,1557,32.398,,,
AR44,10-Jun-2020,1559,1558,35.6181,,,
AR44,10-Jun-2020,1560,NA,34.9972,,,
AR44,10-Jun-2020,1561,NA,32.5704,,,
AR44,10-Jun-2020,1563,1562,32.4762,,,
AR44,10-Jun-2020,NA,1564,32.477,,,
AR44,12-Jun-2020,1566,1565,35.0329,,,
AR44,12-Jun-2020,1567,NA,35.035,,,
AR44,12-Jun-2020,1568,NA,33.2457,,,
AR44,12-Jun-2020,1569,NA,32.434,,,
AR44,12-Jun-2020,1571,1570,32.3881,,,
AR44,12-Jun-2020,NA,1572,32.3895,,,
AR44,13-Jun-2020,1574,1573,33.3826,,,
AR44,13-Jun-2020,1575,NA,32.745,,,
AR44,13-Jun-2020,1576,NA,32.7497,,,
AR44,13-Jun-2020,1577,NA,32.3982,,,
AR44,13-Jun-2020,1579,1578,32.273,,,
AR44,13-Jun-2020,NA,1580,32.2711,,,
AR44,13-Jun-2020,1582,1581,33.5696,,,
AR44,13-Jun-2020,1583,NA,33.5726,,,
AR44,13-Jun-2020,1584,NA,32.6502,,,
AR44,13-Jun-2020,1585,NA,32.4085,,,
AR44,13-Jun-2020,1587,1586,32.3286,,,
AR44,13-Jun-2020,NA,1588,32.3288,,,
AR44,14-Jun-2020,1590,1589,35.3157,,,
AR44,14-Jun-2020,1591,NA,34.9709,,,
AR44,14-Jun-2020,1592,NA,34.9724,,,
AR44,14-Jun-2020,1593,NA,33.7809,,,
AR44,14-Jun-2020,1595,1594,32.9617,,,
AR44,14-Jun-2020,NA,1596,32.9543,,,
