"OOI Pioneer XV, October-November 2020",,,,,,,
Cruise_ID,Date_collected,DICTA_bottle,PH_bottle,salinity_psu,Date_anlDIC,Date_anlTA,Date_anlpH
AR48A,29-Oct-2020,1657,1656,35.5579,,,
AR48A,29-Oct-2020,1658,NA,35.5573,,,
AR48A,29-Oct-2020,1659,NA,34.3439,,,
AR48A,29-Oct-2020,1660,NA,33.9416,,,
AR48A,29-Oct-2020,1662,1661,33.9203,,,
AR48A,29-Oct-2020,NA,1663,33.9401,,,
AR48A,31-Oct-2020,1665,1664,34.6329,,,
AR48A,31-Oct-2020,1666,NA,34.6146,,,
AR48A,31-Oct-2020,1667,NA,34.6288,,,
AR48A,31-Oct-2020,1668,NA,34.6311,,,
AR48A,31-Oct-2020,1670,1669,34.6346,,,
AR48A,31-Oct-2020,NA,1671,34.6348,,,
AR48B,4-Nov-2020,1673,1672,35.073,,,
AR48B,4-Nov-2020,1674,NA,35.4841,,,
AR48B,4-Nov-2020,1675,NA,35.4847,,,
AR48B,4-Nov-2020,1676,NA,35.7217,,,
AR48B,4-Nov-2020,1678,1677,34.7948,,,
AR48B,4-Nov-2020,NA,1679,34.7962,,,
AR48B,5-Nov-2020,1681,1680,35.0683,,,
AR48B,5-Nov-2020,1682,NA,35.4543,,,
AR48B,5-Nov-2020,1683,NA,35.4529,,,
AR48B,5-Nov-2020,1684,NA,35.7369,,,
AR48B,5-Nov-2020,1686,1685,34.8296,,,
AR48B,5-Nov-2020,NA,1687,34.8288,,,
