Cruise_ID,station,start_lat,start_lon,niskin,trip_depth_m,Date,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu,Notes
AR52A,4,39 56.401 N,70 52.948 W,2,438,2021-03-30,1602,1603,J2,35.1392,NA
AR52A,4,39 56.401 N,70 52.948 W,4,202,2021-03-30,NA,1604,J3,36.1947,NA
AR52A,4,39 56.401 N,70 52.948 W,5,202,2021-03-30,NA,1605,J4,36.1927,NA
AR52A,4,39 56.401 N,70 52.948 W,6,103,2021-03-30,NA,1606,J5,35.939,NA
AR52A,4,39 56.401 N,70 52.948 W,10,7,2021-03-30,1607,1608,J7,33.6037,NA
AR52A,4,39 56.401 N,70 52.948 W,11,7,2021-03-30,1609,NA,J8,33.5999,NA
AR52A,6,40 08.232 N,70 46.486 W,1,132,2021-03-31,1610,1611,A1,35.7489,NA
AR52A,6,40 08.232 N,70 46.486 W,2,132,2021-03-31,NA,1612,A2,35.7493,NA
AR52A,6,40 08.232 N,70 46.486 W,4,50,2021-03-31,NA,1613,A3,34.9774,NA
AR52A,6,40 08.232 N,70 46.486 W,6,16,2021-03-31,NA,1614,A5,33.731,NA
AR52A,6,40 08.232 N,70 46.486 W,8,7,2021-03-31,1615,1616,A7,33.6017,NA
AR52A,6,40 08.232 N,70 46.486 W,9,7,2021-03-31,1617,NA,A8,33.5546,NA
AR52A,7,40 21.812 N,70 52.962 W,1,90,2021-03-31,1618,1619,A9,35.6609,NA
AR52A,7,40 21.812 N,70 52.962 W,4,30,2021-03-31,NA,1620,A11,33.3693,NA
AR52A,7,40 21.812 N,70 52.962 W,5,30,2021-03-31,NA,1621,A12,33.3152,NA
AR52A,7,40 21.812 N,70 52.962 W,6,15,2021-03-31,NA,1622,A13,33.1649,NA
AR52A,7,40 21.812 N,70 52.962 W,8,7,2021-03-31,1623,1624,A15,32.9077,NA
AR52A,7,40 21.812 N,70 52.962 W,9,7,2021-03-31,1625,NA,A16,32.7921,NA
AR52A,18,40 21.812 N,70 53.054 W,1,89,2021-04-02,1626,1627,J6,35.7075,NA
AR52A,18,40 21.812 N,70 53.054 W,2,89,2021-04-02,NA,1628,J7,35.7081,NA
AR52A,18,40 21.812 N,70 53.054 W,3,44,2021-04-02,NA,1629,J8,34.1183,NA
AR52A,18,40 21.812 N,70 53.054 W,5,22,2021-04-02,NA,1630,J10,33.2586,NA
AR52A,18,40 21.812 N,70 53.054 W,7,7,2021-04-02,1631,1716,J12,33.0693,NA
AR52A,18,40 21.812 N,70 53.054 W,8,7,2021-04-02,1717,NA,J13,33.0609,NA
AR52B,1,39 56.415 N,70 53.025 W,1,440,2021-04-09,1718,1719,A1,35.1049,NA
AR52B,1,39 56.415 N,70 53.025 W,2,440,2021-04-09,NA,1720,A2,35.1059,NA
AR52B,1,39 56.415 N,70 53.025 W,3,253,2021-04-09,NA,1721,A3,35.3608,NA
AR52B,1,39 56.415 N,70 53.025 W,5,124,2021-04-09,NA,1722,A5,35.8295,NA
AR52B,1,39 56.415 N,70 53.025 W,7,7,2021-04-09,1723,1724,A7,33.2746,NA
AR52B,1,39 56.415 N,70 53.025 W,8,7,2021-04-09,1725,NA,A8,33.2742,NA
