Cruise_ID,station,start_lat,start_lon,niskin,trip_depth_m,Date,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu
AR61A,5,39 56.508 N,70 53.051 W,1,433,2021-10-30,1791,1792,A1,35.1209
AR61A,5,39 56.508 N,70 53.051 W,3,202,2021-10-30,NA,1793,A3,35.6907
AR61A,5,39 56.508 N,70 53.051 W,4,202,2021-10-30,NA,1794,A4,35.6899
AR61A,5,39 56.508 N,70 53.051 W,5,102,2021-10-30,NA,1795,A5,35.8435
AR61A,5,39 56.508 N,70 53.051 W,9,7,2021-10-30,1796,1797,A7,35.3971
AR61A,5,39 56.508 N,70 53.051 W,10,7,2021-10-30,1798,NA,A8,35.3995
AR61A,13,40 21.752 N,70 53.007 W,1,89,2021-11-01,1799,1800,A9,34.3172
AR61A,13,40 21.752 N,70 53.007 W,2,89,2021-11-01,NA,1801,A10,34.3221
AR61A,13,40 21.752 N,70 53.007 W,3,40,2021-11-01,NA,1802,A11,33.1452
AR61A,13,40 21.752 N,70 53.007 W,5,20,2021-11-01,NA,1803,A13,32.8344
AR61A,13,40 21.752 N,70 53.007 W,7,7,2021-11-01,1804,1805,A15,32.8346
AR61A,13,40 21.752 N,70 53.007 W,8,7,2021-11-01,1806,NA,A16,32.8331
AR61A,14,40 08.232 N,70 46.520 W,1,129,2021-11-03,1807,1808,B1,35.8945
AR61A,14,40 08.232 N,70 46.520 W,2,129,2021-11-03,NA,1809,B2,35.8945
AR61A,14,40 08.232 N,70 46.520 W,4,47,2021-11-03,NA,1810,B3,35.713
AR61A,14,40 08.232 N,70 46.520 W,6,25,2021-11-03,NA,1811,B5,35.2926
AR61A,14,40 08.232 N,70 46.520 W,8,7,2021-11-03,1812,1813,B7,35.2355
AR61A,14,40 08.232 N,70 46.520 W,9,7,2021-11-03,1814,NA,B8,35.2377
AR61B,7,39 56.387 N,70 53.004 W,1,438,2021-11-09,1815,"1911, 1816",A1,35.1906
AR61B,7,39 56.387 N,70 53.004 W,4,300,2021-11-09,NA,1817,A3,35.4369
AR61B,7,39 56.387 N,70 53.004 W,5,300,2021-11-09,NA,1818,A4,35.4371
AR61B,7,39 56.387 N,70 53.004 W,7,202,2021-11-09,NA,1819,A5,35.8125
AR61B,7,39 56.387 N,70 53.004 W,19,7,2021-11-09,1820,1851,A7,35.5881
AR61B,7,39 56.387 N,70 53.004 W,20,7,2021-11-09,1852,NA,A8,35.5914
AR61B,8,39 56.346 N,70 46.505 W,1,444,2021-11-10,1853,"1912,1854",A9,35.1449
AR61B,8,39 56.346 N,70 46.505 W,2,444,2021-11-10,NA,1855,A10,35.1457
AR61B,8,39 56.346 N,70 46.505 W,3,332,2021-11-10,NA,1856,A11,35.4243
AR61B,8,39 56.346 N,70 46.505 W,5,112,2021-11-10,NA,1857,A13,36.4727
AR61B,8,39 56.346 N,70 46.505 W,7,7,2021-11-10,1858,1859,A15,35.6131
AR61B,8,39 56.346 N,70 46.505 W,8,7,2021-11-10,1860,NA,A16,35.6133
AR61B,11,40 05.880 N,70 52.982 W,1,141,2021-11-10,1861,1862,B1,35.9281
AR61B,11,40 05.880 N,70 52.982 W,2,141,2021-11-10,NA,1863,B2,35.9291
AR61B,11,40 05.880 N,70 52.982 W,4,100,2021-11-10,NA,1864,B3,35.9347
AR61B,11,40 05.880 N,70 52.982 W,13,40,2021-11-10,NA,1865,B5,35.5782
AR61B,11,40 05.880 N,70 52.982 W,18,7,2021-11-10,1866,1867,B7,35.5026
AR61B,11,40 05.880 N,70 52.982 W,19,7,2021-11-10,1868,NA,B8,35.5028
AR61B,12,40 08.177 N,70 46.542 W,1,128,2021-11-10,1869,1870,B9,35.8876
AR61B,12,40 08.177 N,70 46.542 W,4,65,2021-11-10,NA,1871,B11,35.7774
AR61B,12,40 08.177 N,70 46.542 W,5,66,2021-11-10,NA,1872,B12,35.8368
AR61B,12,40 08.177 N,70 46.542 W,12,25,2021-11-10,NA,1873,B13,35.2243
AR61B,12,40 08.177 N,70 46.542 W,19,7,2021-11-10,1874,1875,B15,33.4262
AR61B,12,40 08.177 N,70 46.542 W,20,7,2021-11-10,1876,NA,B16,33.4241
AR61B,18,40 21.815 N,70 52.980 W,1,90,2021-11-11,1877,1878,U1,34.2632
AR61B,18,40 21.815 N,70 52.980 W,2,90,2021-11-11,NA,1879,U2,34.2636
AR61B,18,40 21.815 N,70 52.980 W,6,50,2021-11-11,NA,1880,U3,33.0385
AR61B,18,40 21.815 N,70 52.980 W,12,25,2021-11-11,NA,1881,U5,32.9476
AR61B,18,40 21.815 N,70 52.980 W,17,6,2021-11-11,1882,1883,U7,32.9476
AR61B,18,40 21.815 N,70 52.980 W,18,6,2021-11-11,1884,NA,U8,32.9471
AR61B,29,40 22.047 N,70 46.582 W,1,89,2021-11-12,1885,1886,B1,34.4269
AR61B,29,40 22.047 N,70 46.582 W,3,65,2021-11-12,NA,1887,B3,33.8326
AR61B,29,40 22.047 N,70 46.582 W,4,65,2021-11-12,NA,1888,B4,33.8324
AR61B,29,40 22.047 N,70 46.582 W,5,30,2021-11-12,NA,1889,B5,32.8389
AR61B,29,40 22.047 N,70 46.582 W,7,7,2021-11-12,1890,1891,B7,32.8344
AR61B,29,40 22.047 N,70 46.582 W,8,7,2021-11-12,1892,NA,B8,32.8365
AR61B,32,40 13.624 N,70 52.982 W,1,121,2021-11-14,1893,1894,A1,35.8343
AR61B,32,40 13.624 N,70 52.982 W,2,121,2021-11-14,NA,1895,A2,35.8378
AR61B,32,40 13.624 N,70 52.982 W,7,65,2021-11-14,NA,1896,A3,33.8324
AR61B,32,40 13.624 N,70 52.982 W,13,25,2021-11-14,NA,1897,A5,32.9921
AR61B,32,40 13.624 N,70 52.982 W,16,7,2021-11-14,1898,1899,A7,32.9874
AR61B,32,40 13.624 N,70 52.982 W,17,7,2021-11-14,1900,NA,A8,32.9897
