Cruise_ID,Date,DICTA_bottle,PH_bottle,salinity_psu
AR70A,2022-11-10,1981,1980,35.0833
AR70A,2022-11-10,1982,NA,35.4411
AR70A,2022-11-10,1983,NA,35.4401
AR70A,2022-11-10,1984,NA,35.7566
AR70A,2022-11-10,1986,1985,35.0501
AR70A,2022-11-10,NA,1987,35.0488
AR70A,2022-11-11,1989,1988,35.3947
AR70A,2022-11-11,1990,NA,35.3957
AR70A,2022-11-11,1991,NA,34.8365
AR70A,2022-11-11,1992,NA,34.9069
AR70A,2022-11-11,1994,1993,34.7569
AR70A,2022-11-11,NA,1995,34.7551
AR70A,2022-11-13,1997,1996,34.0881
AR70A,2022-11-13,1998,NA,34.0976
AR70A,2022-11-13,1999,NA,34.6345
AR70A,2022-11-13,2000,NA,34.2978
AR70A,2022-11-13,2002,2001,33.4891
AR70A,2022-11-13,NA,2003,33.4856
AR70B,2022-11-18,2005,2004,35.1222
AR70B,2022-11-18,2006,NA,35.1209
AR70B,2022-11-18,2007,NA,35.3987
AR70B,2022-11-18,2008,NA,35.9109
AR70B,2022-11-18,2010,2009,35.5133
AR70B,2022-11-18,NA,2011,35.5127
AR70B,2022-11-18,2013,2012,35.5506
AR70B,2022-11-18,2014,NA,35.5515
AR70B,2022-11-18,2015,NA,35.6263
AR70B,2022-11-18,2016,NA,35.2365
AR70B,2022-11-18,2018,2017,35.1906
AR70B,2022-11-18,NA,2019,35.1894
AR70B,2022-11-18,2021,2020,35.4949
AR70B,2022-11-18,2022,NA,35.4941
AR70B,2022-11-18,2023,NA,34.7496
AR70B,2022-11-18,2024,NA,34.0778
AR70B,2022-11-18,2026,2025,34.0819
AR70B,2022-11-18,NA,2027,34.0815
AR70B,2022-11-18,2029,2028,34.9051
AR70B,2022-11-18,2030,NA,34.2515
AR70B,2022-11-18,2031,NA,34.2497
AR70B,2022-11-18,2032,NA,33.1177
AR70B,2022-11-18,2034,2033,33.1167
AR70B,2022-11-18,NA,2035,33.1169
