Cruise_ID,station,start_lat,start_lon,btm_depth_m,niskin,date,time,trip_depth_m,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu
AR70A,4,39 56.407 N,70 53.001 W,444,1,2022-11-10,11:56:00,440,1980,1981,D5,35.0833
AR70A,4,39 56.407 N,70 53.001 W,444,3,2022-11-10,12:02:00,252,NA,1982,D7,35.4411
AR70A,4,39 56.407 N,70 53.001 W,444,4,2022-11-10,12:03:00,252,NA,1983,D8,35.4401
AR70A,4,39 56.407 N,70 53.001 W,444,5,2022-11-10,12:08:00,148,NA,1984,D9,35.7566
AR70A,4,39 56.407 N,70 53.001 W,444,7,2022-11-10,12:15:00,7,1985,1986,D11,35.0501
AR70A,4,39 56.407 N,70 53.001 W,444,8,2022-11-10,12:15:00,7,1987,NA,D12,35.0488
AR70A,11,40 08.155 N,70 46.483 W,134,1,2022-11-11,12:07:00,129,1988,1989,L1,35.3947
AR70A,11,40 08.155 N,70 46.483 W,134,2,2022-11-11,12:07:00,129,NA,1990,L2,35.3957
AR70A,11,40 08.155 N,70 46.483 W,134,3,2022-11-11,12:12:00,78,NA,1991,L3,34.8365
AR70A,11,40 08.155 N,70 46.483 W,134,5,2022-11-11,12:15:00,28,NA,1992,L5,34.9069
AR70A,11,40 08.155 N,70 46.483 W,134,7,2022-11-11,12:18:00,7,1993,1994,L7,34.7569
AR70A,11,40 08.155 N,70 46.483 W,134,8,2022-11-11,12:18:00,7,1995,NA,L8,34.7551
AR70A,28,40 22.305 N,70 52.770 W,89,1,2022-11-13,11:13:00,83,1996,1997,L9,34.0881
AR70A,28,40 22.305 N,70 52.770 W,89,2,2022-11-13,11:13:00,83,NA,1998,L10,34.0976
AR70A,28,40 22.305 N,70 52.770 W,89,3,2022-11-13,11:17:00,46,NA,1999,L11,34.6345
AR70A,28,40 22.305 N,70 52.770 W,89,5,2022-11-13,11:19:00,27,NA,2000,L13,34.2978
AR70A,28,40 22.305 N,70 52.770 W,89,7,2022-11-13,11:22:00,7,2001,2002,L15,33.4891
AR70A,28,40 22.305 N,70 52.770 W,89,8,2022-11-13,11:22:00,7,2003,NA,L16,33.4856
AR70B,4,39 56.227 N,70 45.872 W,444,1,2022-11-18,10:51:00,438,2004,2005,L1,35.1222
AR70B,4,39 56.227 N,70 45.872 W,444,2,2022-11-18,10:51:00,438,NA,2006,L2,35.1209
AR70B,4,39 56.227 N,70 45.872 W,444,3,2022-11-18,10:58:00,248,NA,2007,L3,35.3987
AR70B,4,39 56.227 N,70 45.872 W,444,5,2022-11-18,11:04:00,90,NA,2008,L5,35.9109
AR70B,4,39 56.227 N,70 45.872 W,444,7,2022-11-18,11:10:00,NA,2009,2010,L7,35.5133
AR70B,4,39 56.227 N,70 45.872 W,444,8,2022-11-18,11:10:00,NA,2011,NA,L8,35.5127
AR70B,5,40 05.838 N,70 52.445 W,146,1,2022-11-18,17:20:00,141,2012,2013,L9,35.5506
AR70B,5,40 05.838 N,70 52.445 W,146,2,2022-11-18,17:20:00,141,NA,2014,L10,35.5515
AR70B,5,40 05.838 N,70 52.445 W,146,5,2022-11-18,17:27:00,85,NA,2015,L11,35.6263
AR70B,5,40 05.838 N,70 52.445 W,146,11,2022-11-18,17:35:00,39,NA,2016,L13,35.2365
AR70B,5,40 05.838 N,70 52.445 W,146,14,2022-11-18,17:41:00,7,2017,2018,L15,35.1906
AR70B,5,40 05.838 N,70 52.445 W,146,15,2022-11-18,17:41:00,7,2019,NA,L16,35.1894
AR70B,6,40 13.537 N,70 53.611 W,128,1,2022-11-18,20:24:00,122,2020,2021,L17,35.4949
AR70B,6,40 13.537 N,70 53.611 W,128,2,2022-11-18,20:24:00,122,NA,2022,L18,35.4941
AR70B,6,40 13.537 N,70 53.611 W,128,4,2022-11-18,20:31:00,80,NA,2023,L19,34.7496
AR70B,6,40 13.537 N,70 53.611 W,128,9,2022-11-18,20:37:00,30,NA,2024,L21,34.0778
AR70B,6,40 13.537 N,70 53.611 W,128,13,2022-11-18,20:42:00,7,2025,2026,L23,34.0819
AR70B,6,40 13.537 N,70 53.611 W,128,14,2022-11-18,20:42:00,7,2027,NA,L24,34.0815
AR70B,7,40 21.978 N,70 46.133 W,93,1,2022-11-18,22:37:00,89,2028,2029,D1,34.9051
AR70B,7,40 21.978 N,70 46.133 W,93,3,2022-11-18,22:41:00,49,NA,2030,D3,34.2515
AR70B,7,40 21.978 N,70 46.133 W,93,4,2022-11-18,22:41:00,49,NA,2031,D4,34.2497
AR70B,7,40 21.978 N,70 46.133 W,93,6,2022-11-18,22:46:00,25,NA,2032,D5,33.1177
AR70B,7,40 21.978 N,70 46.133 W,93,8,2022-11-18,22:48:00,7,2033,2034,D7,33.1167
AR70B,7,40 21.978 N,70 46.133 W,93,9,2022-11-18,22:48:00,7,2035,NA,D8,33.1169
