Cruise_ID,station,start_lat,start_lon,btm_depth_m,niskin,date,time,trip_depth_m,PH_bottle,DICTA_bottle,salt_bottle,salinity_psu,Notes
AR87A,5,35 43.2360 N,74 50.8955 W,104,1,2025-03-31,00:54:00,97,2143,2144,B15,34.5019,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,2,2025-03-31,00:54:00,97,NA,2145,B16,34.5076,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,3,2025-03-31,00:58:00,70,NA,2146,B17,34.0574,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,5,2025-03-31,01:02:00,50,NA,2147,B19,35.3703,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,7,2025-03-31,01:07:00,32,NA,2148,B21,36.5105,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,9,2025-03-31,01:12:00,7,2149,2150,B23,36.0693,NA
AR87A,5,35 43.2360 N,74 50.8955 W,104,10,2025-03-31,01:12:00,7,2151,NA,B24,36.0732,NA
AR87A,7,35 50.5894 N,74 50.6467 W,286,1,2025-03-31,15:43:00,293,2152,2153,K1,35.1758,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,7,35 50.5894 N,74 50.6467 W,286,2,2025-03-31,15:43:00,294,NA,2154,K2,35.1752,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,7,35 50.5894 N,74 50.6467 W,286,5,2025-03-31,15:57:00,69,NA,2155,K5,34.451,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,7,35 50.5894 N,74 50.6467 W,286,7,2025-03-31,16:00:00,42,NA,2156,K7,34.865,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,7,35 50.5894 N,74 50.6467 W,286,9,2025-03-31,16:04:00,7,2157,2158,K9,36.5432,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,7,35 50.5894 N,74 50.6467 W,286,10,2025-03-31,16:04:00,7,2159,NA,K10,36.5505,Standardization says incorrect - from Apr1 with P-163 standard
AR87A,10,35 56.9505 N,75 07.5425 W,34,1,2025-04-02,14:40:00,27.5,2160,2161,B1,34.7885,NA
AR87A,10,35 56.9505 N,75 07.5425 W,34,2,2025-04-02,14:41:00,29,NA,2162,B2,34.7911,NA
AR87A,10,35 56.9505 N,75 07.5425 W,34,3,2025-04-02,14:45:00,6.6,2163,2164,B3,34.516,NA
AR87A,10,35 56.9505 N,75 07.5425 W,34,4,2025-04-02,14:45:00,6.9,2165,NA,B4,34.5123,NA
AR87A,11,36 10.7726 N,74 49.1729 W,107,1,2025-04-02,22:07:00,98,2166,2167,B7,34.1417,NA
AR87A,11,36 10.7726 N,74 49.1729 W,107,2,2025-04-02,22:08:00,98,NA,2168,B8,34.1532,NA
